time,state,players
289.348,Patrol,Player(Clone):0.000:False;Girl(Clone):0.000:False
289.449,Patrol,Player(Clone):0.000:False;Girl(Clone):0.000:False
289.549,Patrol,Player(Clone):0.000:False;Girl(Clone):0.000:False
289.651,Patrol,Player(Clone):0.000:False;Girl(Clone):0.000:False
289.752,Patrol,Player(Clone):0.000:False;Girl(Clone):0.000:False
289.853,Patrol,Player(Clone):0.000:False;Girl(Clone):0.000:False
289.955,Patrol,Player(Clone):0.000:False;Girl(Clone):0.000:False
290.057,Patrol,Player(Clone):0.000:False;Girl(Clone):0.000:False
290.161,Patrol,Player(Clone):0.000:False;Girl(Clone):0.000:False
290.265,Patrol,Player(Clone):0.000:False;Girl(Clone):0.000:False
290.369,Patrol,Player(Clone):0.000:False;Girl(Clone):0.000:False
290.473,Patrol,Player(Clone):0.000:False;Girl(Clone):0.000:False
290.576,Patrol,Player(Clone):0.000:False;Girl(Clone):0.000:False
290.680,Patrol,Player(Clone):0.000:False;Girl(Clone):0.000:False
290.781,Patrol,Player(Clone):0.000:False;Girl(Clone):0.000:False
290.884,Patrol,Player(Clone):0.000:False;Girl(Clone):0.000:False
290.988,Patrol,Player(Clone):0.000:False;Girl(Clone):0.000:False
291.088,Patrol,Player(Clone):0.000:False;Girl(Clone):0.000:False
291.187,Patrol,Player(Clone):0.000:False;Girl(Clone):0.000:False
291.292,Patrol,Player(Clone):0.000:False;Girl(Clone):0.000:False
291.395,Patrol,Player(Clone):0.000:False;Girl(Clone):0.000:False
291.499,Patrol,Player(Clone):0.000:False;Girl(Clone):0.000:False
291.602,Patrol,Player(Clone):0.000:False;Girl(Clone):0.000:False
291.705,Patrol,Player(Clone):0.000:False;Girl(Clone):0.000:False
291.809,Patrol,Player(Clone):0.000:False;Girl(Clone):0.000:False
291.913,Patrol,Player(Clone):0.000:False;Girl(Clone):0.000:False
292.016,Patrol,Player(Clone):0.000:False;Girl(Clone):0.000:False
292.120,Patrol,Player(Clone):0.000:False;Girl(Clone):0.000:False
292.220,Patrol,Player(Clone):0.000:False;Girl(Clone):0.000:False
292.324,Patrol,Player(Clone):0.000:False;Girl(Clone):0.000:False
292.427,Patrol,Player(Clone):0.000:False;Girl(Clone):0.000:False
292.530,Patrol,Player(Clone):0.000:False;Girl(Clone):0.000:False
292.634,Patrol,Player(Clone):0.000:False;Girl(Clone):0.000:False
292.735,Patrol,Player(Clone):0.000:False;Girl(Clone):0.000:False
292.835,Patrol,Player(Clone):0.000:False;Girl(Clone):0.000:False
292.939,Patrol,Player(Clone):0.000:False;Girl(Clone):0.000:False
293.038,Patrol,Player(Clone):0.000:False;Girl(Clone):0.000:False
293.142,Patrol,Player(Clone):0.000:False;Girl(Clone):0.000:False
293.243,Patrol,Player(Clone):0.000:False;Girl(Clone):0.000:False
293.344,Patrol,Player(Clone):0.000:False;Girl(Clone):0.000:False
293.446,Patrol,Player(Clone):0.000:False;Girl(Clone):0.000:False
293.546,Patrol,Player(Clone):0.000:False;Girl(Clone):0.000:False
293.648,Patrol,Player(Clone):0.000:False;Girl(Clone):0.000:False
293.751,Patrol,Player(Clone):0.000:False;Girl(Clone):0.000:False
293.852,Patrol,Player(Clone):0.000:False;Girl(Clone):0.000:False
293.954,Patrol,Player(Clone):0.000:False;Girl(Clone):0.000:False
294.056,Patrol,Player(Clone):0.000:False;Girl(Clone):0.000:False
294.157,Patrol,Player(Clone):0.000:False;Girl(Clone):0.000:False
294.258,Patrol,Player(Clone):0.000:False;Girl(Clone):0.000:False
